JUDGE,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE
양품,220.0,72,148.0,368.0,6807.0
양품,220.0,69,134.0,376.0,6660.0
양품,230.0,69,150.0,348.0,7413.0
양품,210.0,80,150.0,384.0,6807.0
양품,210.0,72,132.0,384.0,6927.0
양품,230.0,69,178.0,352.0,7440.0
명점,220.0,69,150.0,336.0,6867.0
양품,240.0,69,146.0,340.0,6807.0
양품,210.0,69,136.0,388.0,7467.0
양품,220.0,72,158.0,384.0,6927.0
양품,220.0,72,170.0,336.0,6720.0
양품,210.0,72,146.0,388.0,6993.0
양품,210.0,72,140.0,380.0,6780.0
명점,210.0,80,150.0,384.0,6807.0
양품,210.0,74,154.0,392.0,6960.0
양품,210.0,69,138.0,380.0,6660.0
양품,260.0,69,176.0,384.0,6900.0
양품,220.0,69,130.0,364.0,6720.0
명점,240.0,74,132.0,372.0,6720.0
양품,210.0,69,134.0,380.0,7473.0
양품,210.0,74,172.0,336.0,6720.0
양품,250.0,77,152.0,336.0,6960.0
양품,210.0,72,324.0,348.0,6687.0
양품,210.0,72,184.0,384.0,6867.0
양품,230.0,69,152.0,364.0,6867.0
양품,220.0,71,152.0,336.0,6813.0
명점,230.0,72,150.0,384.0,6993.0
양품,210.0,72,162.0,380.0,6903.0
양품,230.0,72,142.0,384.0,7017.0
양품,210.0,69,154.0,384.0,6687.0
양품,240.0,69,138.0,388.0,6780.0
명점,210.0,72,286.0,332.0,6753.0
양품,220.0,69,130.0,384.0,7020.0
양품,220.0,72,168.0,416.0,6720.0
양품,220.0,72,158.0,368.0,7107.0
양품,260.0,72,148.0,360.0,6867.0
명점,210.0,72,118.0,376.0,6840.0
양품,230.0,72,150.0,384.0,6993.0
양품,210.0,72,280.0,392.0,6873.0
명점,210.0,72,150.0,404.0,6960.0
양품,220.0,72,136.0,384.0,7020.0
양품,220.0,69,174.0,384.0,7530.0
양품,220.0,74,156.0,352.0,6720.0
양품,220.0,69,198.0,384.0,7020.0
양품,220.0,72,134.0,376.0,6720.0
양품,210.0,69,160.0,348.0,6687.0
양품,210.0,69,136.0,388.0,7467.0
명점,250.0,72,158.0,348.0,7587.0
양품,210.0,72,140.0,380.0,6900.0
양품,210.0,74,174.0,380.0,6900.0
양품,260.0,69,140.0,420.0,8967.0
양품,220.0,75,168.0,360.0,7500.0
양품,190.0,69,176.0,372.0,6867.0
명점,210.0,69,150.0,372.0,6780.0
양품,210.0,69,186.0,352.0,6693.0
양품,220.0,72,140.0,368.0,7047.0
양품,210.0,74,160.0,380.0,6693.0
양품,240.0,69,136.0,368.0,6813.0
양품,230.0,72,158.0,384.0,6840.0
양품,250.0,69,152.0,356.0,6867.0
양품,200.0,71,150.0,384.0,6927.0
양품,220.0,69,192.0,384.0,6900.0
양품,220.0,72,136.0,384.0,6840.0
양품,210.0,69,160.0,352.0,7413.0
명점,210.0,69,158.0,356.0,7227.0
양품,210.0,69,158.0,360.0,7407.0
양품,210.0,69,148.0,372.0,6867.0
양품,200.0,69,150.0,384.0,6867.0
양품,220.0,69,166.0,356.0,6927.0
양품,210.0,72,148.0,352.0,7440.0
양품,220.0,74,156.0,352.0,6720.0
양품,220.0,93,118.0,372.0,6840.0
양품,200.0,72,158.0,384.0,6867.0
양품,260.0,72,148.0,360.0,6867.0
양품,220.0,63,158.0,376.0,6627.0
양품,210.0,80,150.0,384.0,6807.0
양품,210.0,74,144.0,380.0,6960.0
양품,220.0,75,128.0,392.0,6807.0
양품,210.0,69,146.0,372.0,6660.0
양품,220.0,69,146.0,352.0,7407.0
양품,250.0,69,134.0,380.0,7047.0
양품,220.0,69,192.0,384.0,6900.0
양품,220.0,69,136.0,368.0,6813.0
명점,210.0,72,154.0,344.0,6780.0
양품,220.0,69,180.0,344.0,7080.0
양품,260.0,69,138.0,336.0,6780.0
양품,250.0,72,186.0,352.0,6927.0
양품,220.0,69,148.0,384.0,6840.0
양품,210.0,66,148.0,384.0,7473.0
명점,210.0,72,174.0,372.0,6873.0
양품,210.0,74,162.0,408.0,6960.0
양품,210.0,72,280.0,392.0,6873.0
양품,220.0,72,140.0,380.0,6840.0
양품,220.0,69,190.0,348.0,6810.0
양품,220.0,72,168.0,416.0,6720.0
양품,210.0,75,156.0,348.0,7113.0
양품,220.0,72,144.0,376.0,6900.0
명점,200.0,69,144.0,344.0,7320.0
양품,230.0,69,172.0,412.0,6837.0
양품,240.0,69,136.0,352.0,6813.0
양품,210.0,72,138.0,396.0,6900.0
양품,210.0,69,154.0,380.0,6807.0
명점,250.0,72,136.0,372.0,6867.0
양품,210.0,72,144.0,392.0,6960.0
양품,220.0,69,152.0,388.0,7020.0
양품,220.0,69,152.0,348.0,7407.0
명점,220.0,72,138.0,368.0,6900.0
명점,260.0,69,126.0,416.0,7653.0
양품,210.0,69,160.0,336.0,7080.0
양품,210.0,74,164.0,384.0,7050.0
양품,220.0,69,166.0,356.0,6927.0
명점,210.0,72,144.0,352.0,7113.0
양품,240.0,72,132.0,368.0,6813.0
양품,220.0,69,130.0,384.0,7020.0
양품,210.0,69,136.0,388.0,7467.0
양품,220.0,75,122.0,376.0,6867.0
양품,210.0,69,148.0,372.0,6867.0
양품,240.0,66,186.0,336.0,6867.0
양품,210.0,69,200.0,332.0,6993.0
양품,220.0,78,200.0,380.0,6873.0
양품,220.0,69,132.0,416.0,7053.0
양품,210.0,69,132.0,356.0,6900.0
명점,210.0,69,152.0,368.0,6903.0
양품,220.0,75,136.0,372.0,7080.0
양품,220.0,69,136.0,392.0,6807.0
양품,210.0,69,132.0,356.0,6900.0
양품,220.0,78,200.0,380.0,6873.0
양품,230.0,69,192.0,384.0,6987.0
양품,220.0,72,146.0,368.0,6987.0
명점,260.0,69,176.0,336.0,7380.0
양품,190.0,72,144.0,352.0,7413.0
양품,230.0,75,156.0,404.0,6807.0
양품,220.0,69,148.0,368.0,6747.0
양품,220.0,69,174.0,336.0,6813.0
양품,240.0,71,144.0,336.0,7080.0
양품,220.0,69,152.0,364.0,6780.0
양품,220.0,72,148.0,368.0,6807.0
양품,220.0,69,132.0,388.0,6840.0
양품,210.0,75,140.0,420.0,6927.0
양품,220.0,69,132.0,388.0,6840.0
양품,220.0,69,146.0,368.0,6780.0
양품,210.0,72,190.0,344.0,6987.0
양품,210.0,69,176.0,352.0,7407.0
명점,220.0,69,156.0,388.0,6687.0
양품,230.0,69,144.0,340.0,6933.0
양품,220.0,69,192.0,384.0,6900.0
양품,220.0,69,186.0,368.0,7233.0
양품,260.0,69,144.0,416.0,6960.0
양품,210.0,72,150.0,388.0,6933.0
양품,210.0,72,156.0,344.0,6780.0
양품,220.0,69,154.0,384.0,6900.0
양품,210.0,69,176.0,352.0,7440.0
명점,220.0,69,156.0,388.0,6687.0
양품,210.0,69,154.0,380.0,6807.0
양품,210.0,66,158.0,384.0,6840.0
양품,210.0,69,164.0,392.0,6753.0
양품,200.0,69,168.0,392.0,6900.0
양품,220.0,72,186.0,348.0,6720.0
양품,220.0,69,138.0,392.0,6780.0
양품,210.0,72,150.0,380.0,6960.0
양품,220.0,75,122.0,376.0,6867.0
양품,210.0,75,190.0,332.0,7107.0
양품,210.0,69,160.0,336.0,7080.0
명점,260.0,69,162.0,368.0,6840.0
양품,210.0,75,148.0,416.0,6960.0
양품,220.0,69,168.0,388.0,6927.0
양품,210.0,72,156.0,344.0,6780.0
양품,210.0,69,138.0,368.0,6687.0
양품,260.0,69,152.0,360.0,7083.0
양품,220.0,72,138.0,384.0,6660.0
양품,240.0,72,132.0,368.0,6813.0
양품,220.0,75,130.0,384.0,6900.0
양품,210.0,75,168.0,328.0,6873.0
양품,210.0,69,154.0,384.0,6687.0
양품,210.0,72,148.0,352.0,7440.0
양품,210.0,72,130.0,384.0,6780.0
양품,220.0,72,154.0,408.0,6840.0
양품,220.0,74,148.0,388.0,6900.0
양품,220.0,69,150.0,344.0,6807.0
양품,220.0,72,156.0,368.0,6900.0
양품,220.0,72,138.0,384.0,6867.0
양품,210.0,69,134.0,384.0,6900.0
양품,230.0,69,150.0,348.0,7413.0
양품,210.0,72,184.0,384.0,6867.0
양품,210.0,69,162.0,364.0,6807.0
양품,240.0,72,132.0,368.0,6813.0
양품,210.0,69,132.0,344.0,7110.0
양품,210.0,69,152.0,328.0,6807.0
양품,220.0,72,152.0,368.0,6807.0
양품,220.0,72,138.0,372.0,6687.0
양품,220.0,72,154.0,336.0,7200.0
양품,260.0,69,144.0,416.0,6960.0
양품,220.0,69,134.0,368.0,6960.0
명점,250.0,69,138.0,364.0,7353.0
양품,210.0,74,144.0,380.0,6960.0
양품,220.0,72,160.0,376.0,6840.0
양품,210.0,74,186.0,352.0,6660.0
양품,220.0,72,152.0,352.0,6687.0
명점,230.0,69,172.0,416.0,6837.0
양품,220.0,69,186.0,352.0,7440.0
양품,190.0,69,176.0,372.0,6867.0
양품,230.0,69,344.0,332.0,6807.0
양품,220.0,72,138.0,384.0,6933.0
양품,210.0,69,142.0,384.0,6960.0
명점,260.0,69,182.0,336.0,7107.0
양품,210.0,75,190.0,332.0,7107.0
양품,220.0,69,144.0,340.0,6807.0
명점,210.0,72,156.0,368.0,7080.0
양품,210.0,72,140.0,352.0,6807.0
양품,210.0,69,188.0,332.0,6987.0
양품,210.0,69,188.0,416.0,6933.0
명점,260.0,69,138.0,372.0,6720.0
양품,210.0,72,126.0,372.0,6960.0
명점,210.0,69,152.0,368.0,6867.0
양품,220.0,69,158.0,392.0,6900.0
양품,220.0,72,152.0,368.0,6807.0
양품,220.0,72,158.0,372.0,6933.0
양품,220.0,69,134.0,364.0,6993.0
양품,210.0,69,188.0,416.0,6933.0
양품,210.0,69,132.0,380.0,7527.0
명점,210.0,69,156.0,336.0,7020.0
양품,270.0,69,138.0,332.0,6720.0
양품,230.0,69,144.0,340.0,6933.0
양품,210.0,72,150.0,392.0,6840.0
양품,210.0,72,174.0,388.0,6900.0
양품,210.0,66,164.0,392.0,6873.0
양품,220.0,69,158.0,392.0,6900.0
명점,210.0,69,156.0,404.0,6780.0
양품,210.0,69,148.0,368.0,6720.0
양품,210.0,69,136.0,384.0,6873.0
양품,210.0,69,138.0,368.0,6687.0
양품,220.0,69,140.0,384.0,6960.0
양품,200.0,72,150.0,384.0,6933.0
양품,220.0,69,174.0,384.0,7500.0
양품,250.0,69,146.0,364.0,6927.0
양품,210.0,72,150.0,384.0,6987.0
양품,200.0,75,138.0,372.0,7020.0
양품,220.0,72,202.0,396.0,6960.0
양품,220.0,69,142.0,368.0,6720.0
양품,220.0,72,174.0,332.0,6780.0
양품,210.0,72,174.0,388.0,6900.0
양품,220.0,72,150.0,392.0,6693.0
양품,210.0,74,150.0,336.0,6777.0
양품,210.0,75,172.0,352.0,7020.0
양품,220.0,69,152.0,352.0,7407.0
양품,220.0,74,138.0,368.0,6900.0
양품,250.0,69,164.0,336.0,6807.0
양품,210.0,75,168.0,384.0,6873.0
양품,210.0,74,144.0,380.0,6960.0
양품,230.0,69,192.0,348.0,6780.0
명점,220.0,69,154.0,336.0,6567.0
양품,210.0,69,160.0,352.0,7413.0
명점,260.0,66,174.0,372.0,6897.0
양품,210.0,69,138.0,416.0,7353.0
양품,210.0,69,132.0,380.0,7527.0
양품,210.0,74,140.0,380.0,6867.0
양품,200.0,72,142.0,416.0,7350.0
양품,220.0,72,140.0,384.0,7380.0
양품,210.0,72,154.0,384.0,6900.0
양품,220.0,72,152.0,380.0,6927.0
양품,210.0,72,190.0,372.0,7173.0
양품,220.0,69,134.0,380.0,7473.0
명점,220.0,72,276.0,336.0,7287.0
양품,220.0,69,200.0,368.0,6807.0
양품,210.0,72,126.0,372.0,6960.0
명점,260.0,72,166.0,368.0,6807.0
양품,260.0,69,140.0,420.0,8967.0
양품,210.0,77,148.0,372.0,6630.0
양품,220.0,69,142.0,368.0,6720.0
양품,220.0,69,134.0,376.0,6660.0
양품,220.0,72,136.0,380.0,7167.0
양품,220.0,72,170.0,368.0,7530.0
양품,210.0,72,154.0,384.0,6993.0
양품,220.0,72,138.0,380.0,7380.0
양품,210.0,72,162.0,380.0,6903.0
양품,210.0,72,150.0,380.0,6960.0
명점,210.0,69,150.0,372.0,6927.0
양품,220.0,69,134.0,364.0,6993.0
양품,220.0,69,156.0,368.0,6927.0
양품,220.0,69,142.0,384.0,6960.0
양품,240.0,69,138.0,388.0,6780.0
명점,210.0,69,164.0,376.0,7167.0
양품,210.0,72,158.0,348.0,7113.0
양품,210.0,69,146.0,408.0,7287.0
양품,210.0,66,212.0,352.0,6933.0
양품,240.0,69,138.0,388.0,6687.0
양품,220.0,69,146.0,352.0,7407.0
양품,210.0,72,154.0,340.0,6900.0
명점,230.0,69,134.0,368.0,6840.0
양품,220.0,69,134.0,368.0,7020.0
양품,260.0,69,138.0,336.0,6780.0
양품,250.0,77,148.0,348.0,6900.0
양품,210.0,69,158.0,404.0,7047.0
양품,220.0,72,130.0,384.0,6900.0
양품,200.0,72,150.0,384.0,6933.0
양품,220.0,69,174.0,384.0,7530.0
양품,220.0,69,180.0,344.0,7080.0
양품,210.0,69,160.0,384.0,6867.0
양품,210.0,75,148.0,416.0,6960.0
양품,210.0,72,164.0,384.0,6987.0
양품,220.0,69,134.0,368.0,6870.0
양품,210.0,69,160.0,352.0,7413.0
양품,220.0,69,180.0,352.0,7410.0
양품,220.0,69,154.0,372.0,7107.0
양품,220.0,69,148.0,356.0,6687.0
명점,240.0,69,138.0,388.0,6687.0
양품,220.0,69,140.0,384.0,6900.0
양품,220.0,69,134.0,368.0,6960.0
명점,220.0,69,138.0,368.0,6900.0
양품,210.0,72,162.0,380.0,6903.0
양품,220.0,69,198.0,352.0,7020.0
양품,240.0,69,182.0,348.0,6873.0
양품,210.0,72,130.0,384.0,6780.0
양품,210.0,69,134.0,380.0,7473.0
양품,250.0,69,164.0,384.0,6873.0
양품,210.0,75,156.0,348.0,7113.0
양품,210.0,69,184.0,332.0,7140.0
양품,210.0,69,136.0,384.0,6900.0
양품,210.0,72,164.0,396.0,7170.0
양품,250.0,69,130.0,352.0,6867.0
양품,250.0,72,186.0,352.0,6927.0
양품,210.0,74,144.0,416.0,7233.0
명점,210.0,69,166.0,360.0,6867.0
양품,220.0,72,158.0,380.0,6867.0
양품,210.0,75,136.0,384.0,6900.0
양품,200.0,72,176.0,384.0,6840.0
명점,210.0,74,166.0,352.0,7407.0
양품,210.0,72,130.0,384.0,6780.0
양품,210.0,78,146.0,384.0,6900.0
양품,220.0,72,170.0,368.0,7530.0
양품,220.0,72,152.0,380.0,6900.0
양품,210.0,74,144.0,416.0,7233.0
명점,210.0,72,150.0,396.0,6927.0
양품,230.0,72,158.0,384.0,6840.0
양품,210.0,72,150.0,380.0,6960.0
양품,200.0,77,134.0,380.0,7020.0
양품,210.0,74,174.0,380.0,6900.0
양품,210.0,69,190.0,384.0,7500.0
양품,210.0,72,280.0,392.0,6873.0
양품,220.0,72,138.0,384.0,6867.0
양품,220.0,72,186.0,348.0,6720.0
양품,220.0,69,136.0,392.0,6807.0
양품,220.0,69,142.0,384.0,6813.0
명점,210.0,69,136.0,352.0,7080.0
양품,250.0,77,152.0,336.0,6960.0
양품,210.0,69,232.0,332.0,6780.0
명점,220.0,69,138.0,368.0,7173.0
양품,210.0,69,146.0,372.0,6660.0
명점,220.0,69,158.0,404.0,6900.0
양품,230.0,72,158.0,384.0,6840.0
양품,210.0,72,190.0,372.0,7173.0
양품,210.0,74,136.0,380.0,6900.0
양품,240.0,74,182.0,348.0,6753.0
양품,210.0,74,144.0,416.0,7233.0
양품,210.0,69,178.0,364.0,6687.0
양품,210.0,69,146.0,372.0,6660.0
양품,220.0,72,158.0,368.0,7107.0
양품,240.0,69,152.0,384.0,7020.0
양품,210.0,69,186.0,332.0,7020.0
양품,220.0,72,152.0,352.0,6687.0
양품,210.0,72,148.0,384.0,6780.0
양품,240.0,69,142.0,368.0,6813.0
양품,210.0,72,132.0,372.0,6987.0
양품,200.0,69,168.0,392.0,6900.0
명점,240.0,74,138.0,384.0,6837.0
양품,210.0,77,148.0,372.0,6630.0
명점,220.0,69,236.0,372.0,7320.0
양품,210.0,75,148.0,392.0,6987.0
양품,210.0,69,136.0,384.0,6900.0
양품,210.0,69,142.0,356.0,7413.0
양품,200.0,69,168.0,392.0,6900.0
양품,210.0,69,332.0,336.0,7113.0
양품,220.0,72,152.0,372.0,6807.0
명점,210.0,74,158.0,336.0,7080.0
양품,220.0,72,202.0,396.0,6960.0
양품,210.0,72,140.0,380.0,6780.0
명점,220.0,72,202.0,396.0,6960.0
양품,220.0,69,162.0,336.0,6840.0
양품,240.0,69,146.0,340.0,6807.0
양품,220.0,69,174.0,336.0,6813.0
양품,220.0,69,138.0,392.0,6780.0
양품,210.0,72,140.0,380.0,6960.0
양품,220.0,69,138.0,384.0,6867.0
양품,220.0,75,148.0,360.0,7437.0
양품,210.0,72,184.0,384.0,6867.0
양품,210.0,72,186.0,336.0,6987.0
양품,220.0,69,156.0,368.0,6927.0
양품,220.0,69,154.0,388.0,6960.0
양품,210.0,66,140.0,396.0,6960.0
양품,210.0,74,144.0,380.0,6960.0
명점,220.0,69,164.0,376.0,6987.0
양품,220.0,69,138.0,384.0,6900.0
양품,210.0,72,200.0,348.0,6687.0
양품,220.0,73,154.0,360.0,6657.0
양품,210.0,72,138.0,372.0,6627.0
양품,240.0,74,138.0,384.0,6837.0
양품,250.0,69,166.0,416.0,6960.0
양품,210.0,72,160.0,376.0,6807.0
양품,220.0,72,138.0,384.0,6933.0
양품,210.0,75,172.0,352.0,7020.0
명점,230.0,69,154.0,396.0,6960.0
양품,220.0,75,122.0,376.0,6867.0
양품,220.0,69,158.0,392.0,6900.0
양품,210.0,72,148.0,368.0,7473.0
양품,220.0,69,150.0,352.0,7380.0
양품,210.0,66,212.0,352.0,6933.0
양품,210.0,74,178.0,416.0,7440.0
양품,230.0,69,208.0,368.0,6780.0
양품,210.0,69,130.0,352.0,6900.0
명점,220.0,69,200.0,336.0,6987.0
양품,210.0,69,170.0,384.0,7473.0
양품,210.0,69,160.0,336.0,7080.0
양품,210.0,69,132.0,344.0,7110.0
양품,220.0,72,190.0,384.0,6840.0
양품,230.0,72,150.0,384.0,6993.0
양품,210.0,75,188.0,384.0,7413.0
양품,210.0,74,164.0,384.0,7050.0
양품,240.0,66,202.0,368.0,6903.0
양품,210.0,75,152.0,376.0,7467.0
양품,220.0,72,158.0,372.0,6933.0
명점,220.0,69,238.0,348.0,6840.0
양품,230.0,72,160.0,328.0,6840.0
양품,260.0,69,182.0,336.0,7107.0
명점,210.0,75,148.0,416.0,6960.0
양품,210.0,69,178.0,400.0,6927.0
양품,220.0,69,154.0,352.0,7620.0
양품,220.0,74,190.0,332.0,7020.0
양품,220.0,69,140.0,384.0,6900.0
양품,230.0,69,488.0,356.0,6780.0
양품,220.0,72,118.0,368.0,6900.0
양품,210.0,80,150.0,384.0,6807.0
양품,210.0,72,162.0,380.0,6903.0
명점,210.0,72,150.0,388.0,6933.0
양품,220.0,75,128.0,392.0,6807.0
양품,220.0,75,130.0,384.0,6900.0
양품,210.0,69,148.0,384.0,6807.0
양품,220.0,63,158.0,376.0,6627.0
양품,220.0,69,150.0,384.0,6840.0
양품,210.0,69,130.0,384.0,6900.0
양품,250.0,72,186.0,352.0,6927.0
양품,210.0,71,150.0,372.0,6693.0
양품,210.0,66,148.0,384.0,7473.0
명점,260.0,72,142.0,368.0,6840.0
양품,240.0,69,130.0,384.0,6840.0
양품,210.0,72,154.0,384.0,6993.0
양품,220.0,72,168.0,372.0,6660.0
명점,210.0,69,190.0,336.0,7047.0
양품,210.0,73,172.0,360.0,7413.0
양품,210.0,72,126.0,376.0,6960.0
양품,210.0,69,156.0,376.0,6873.0
명점,220.0,69,164.0,380.0,6780.0
양품,220.0,69,262.0,364.0,6960.0
양품,210.0,72,190.0,344.0,6987.0
양품,220.0,72,174.0,408.0,7293.0
명점,240.0,72,152.0,380.0,6807.0
양품,200.0,75,138.0,372.0,7020.0
양품,210.0,69,134.0,380.0,6900.0
양품,220.0,63,156.0,336.0,6720.0
양품,210.0,73,172.0,360.0,7413.0
양품,210.0,72,154.0,340.0,6867.0
양품,220.0,72,152.0,380.0,6900.0
양품,220.0,71,352.0,416.0,6933.0
양품,200.0,69,172.0,336.0,8970.0
명점,210.0,72,146.0,336.0,6987.0
명점,220.0,69,150.0,348.0,7653.0
양품,240.0,69,142.0,396.0,6753.0
양품,220.0,69,170.0,332.0,6807.0
양품,230.0,69,150.0,348.0,7413.0
양품,220.0,72,138.0,372.0,6687.0
양품,190.0,69,176.0,372.0,6867.0
양품,240.0,72,140.0,360.0,6867.0
양품,210.0,72,162.0,388.0,6960.0
양품,220.0,72,146.0,368.0,6987.0
양품,220.0,69,142.0,340.0,6780.0
양품,210.0,69,132.0,380.0,7527.0
양품,210.0,69,178.0,416.0,7137.0
양품,230.0,72,262.0,352.0,6867.0
양품,220.0,72,172.0,384.0,7467.0
양품,230.0,69,136.0,360.0,6960.0
양품,230.0,69,140.0,344.0,6993.0
명점,220.0,69,158.0,364.0,6867.0
양품,220.0,66,172.0,360.0,6987.0
양품,250.0,63,136.0,384.0,7017.0
명점,210.0,69,162.0,376.0,6720.0
양품,220.0,69,186.0,372.0,6807.0
양품,220.0,66,164.0,352.0,6693.0
양품,240.0,69,154.0,368.0,6780.0
양품,210.0,66,140.0,396.0,6960.0
양품,210.0,74,154.0,392.0,6960.0
양품,220.0,69,130.0,364.0,6720.0
양품,230.0,69,488.0,356.0,6780.0
양품,220.0,72,142.0,384.0,6900.0
양품,210.0,69,136.0,380.0,7440.0
양품,230.0,69,192.0,384.0,6987.0
양품,230.0,72,158.0,384.0,6840.0
명점,210.0,69,158.0,360.0,7107.0
명점,220.0,69,150.0,368.0,6840.0
양품,210.0,72,148.0,384.0,6780.0
양품,210.0,69,142.0,384.0,6960.0
명점,200.0,72,168.0,332.0,7440.0
양품,230.0,69,148.0,416.0,6933.0
양품,250.0,69,164.0,336.0,6807.0
양품,210.0,72,140.0,380.0,6780.0
양품,220.0,69,152.0,372.0,7380.0
명점,210.0,69,160.0,380.0,6867.0
양품,210.0,75,194.0,336.0,7020.0
양품,210.0,69,164.0,396.0,6810.0
양품,220.0,72,136.0,364.0,6987.0
명점,220.0,69,208.0,384.0,7053.0
양품,210.0,69,158.0,360.0,7407.0
양품,210.0,69,130.0,368.0,7113.0
양품,210.0,69,186.0,332.0,7020.0
양품,210.0,74,164.0,384.0,7050.0
양품,220.0,72,190.0,380.0,7467.0
명점,220.0,69,152.0,388.0,6987.0
양품,220.0,69,142.0,380.0,7473.0
양품,200.0,75,160.0,384.0,7500.0
양품,210.0,72,140.0,352.0,6807.0
양품,210.0,69,130.0,384.0,6900.0
양품,230.0,72,168.0,368.0,6813.0
명점,220.0,69,166.0,356.0,6927.0
양품,220.0,69,150.0,352.0,7380.0
양품,220.0,72,136.0,380.0,7167.0
양품,210.0,69,118.0,376.0,6840.0
양품,210.0,69,154.0,384.0,6687.0
양품,240.0,69,138.0,388.0,6687.0
양품,230.0,75,156.0,404.0,6807.0
명점,210.0,69,170.0,384.0,7473.0
양품,230.0,74,142.0,384.0,7500.0
양품,190.0,72,216.0,372.0,7140.0
명점,210.0,72,144.0,412.0,6900.0
양품,260.0,69,176.0,384.0,6900.0
양품,240.0,69,138.0,388.0,6780.0
양품,220.0,72,168.0,372.0,6660.0
양품,210.0,69,142.0,356.0,7413.0
양품,230.0,69,192.0,348.0,6780.0
양품,210.0,72,182.0,388.0,6840.0
양품,220.0,69,180.0,352.0,7410.0
양품,260.0,74,118.0,376.0,6807.0
명점,210.0,69,156.0,376.0,6873.0
양품,230.0,69,178.0,352.0,7440.0
양품,210.0,75,136.0,384.0,6900.0
양품,240.0,69,140.0,368.0,6780.0
양품,230.0,69,344.0,332.0,6807.0
양품,240.0,69,142.0,396.0,6753.0
명점,210.0,75,168.0,384.0,6873.0
양품,220.0,69,170.0,332.0,6807.0
양품,210.0,72,160.0,384.0,6930.0
양품,210.0,72,132.0,380.0,6867.0
명점,260.0,72,132.0,416.0,7620.0
양품,220.0,69,138.0,384.0,6900.0
양품,260.0,69,182.0,336.0,7107.0
양품,220.0,72,152.0,380.0,6900.0
명점,210.0,69,178.0,400.0,6927.0
양품,210.0,69,182.0,372.0,7020.0
양품,210.0,69,154.0,384.0,6840.0
양품,220.0,69,152.0,364.0,6780.0
명점,210.0,69,166.0,360.0,6867.0
양품,210.0,69,178.0,416.0,7137.0
양품,210.0,69,154.0,380.0,6807.0
양품,210.0,69,148.0,372.0,6867.0
양품,230.0,72,208.0,340.0,6960.0
양품,210.0,69,146.0,368.0,6780.0
양품,210.0,69,188.0,332.0,6987.0
양품,210.0,72,140.0,380.0,6900.0
양품,210.0,69,140.0,384.0,7467.0
양품,210.0,69,162.0,364.0,6807.0
양품,220.0,66,136.0,384.0,6840.0
양품,220.0,69,184.0,372.0,6693.0
양품,220.0,72,136.0,376.0,7500.0
양품,210.0,66,176.0,348.0,6987.0
양품,210.0,69,500.0,384.0,6873.0
양품,230.0,75,156.0,404.0,6807.0
양품,210.0,74,156.0,356.0,7440.0
양품,220.0,69,178.0,332.0,7047.0
양품,240.0,69,138.0,368.0,6753.0
명점,240.0,69,130.0,372.0,6747.0
양품,210.0,72,140.0,352.0,6807.0
양품,200.0,75,160.0,384.0,7500.0
명점,220.0,69,174.0,384.0,7530.0
양품,220.0,69,152.0,396.0,6960.0
양품,240.0,66,202.0,368.0,6903.0
양품,220.0,72,134.0,376.0,6720.0
양품,210.0,66,164.0,392.0,6873.0
명점,250.0,69,166.0,416.0,6960.0
양품,210.0,72,160.0,376.0,6807.0
양품,210.0,69,146.0,340.0,6987.0
양품,210.0,72,132.0,380.0,6867.0
명점,220.0,69,134.0,352.0,6960.0
양품,210.0,69,166.0,364.0,6960.0
양품,210.0,72,152.0,348.0,6867.0
양품,210.0,69,164.0,392.0,6753.0
양품,210.0,72,140.0,368.0,7080.0
명점,220.0,72,152.0,368.0,6807.0
양품,210.0,69,182.0,372.0,7020.0
명점,220.0,69,132.0,384.0,6900.0
양품,220.0,72,340.0,352.0,6867.0
양품,220.0,66,146.0,380.0,6993.0
명점,210.0,69,158.0,368.0,6807.0
양품,250.0,72,156.0,336.0,6960.0
명점,210.0,69,142.0,416.0,7080.0
양품,240.0,72,136.0,368.0,6687.0
명점,220.0,69,152.0,420.0,6540.0
양품,210.0,69,138.0,380.0,6660.0
양품,240.0,74,182.0,348.0,6753.0
명점,200.0,66,152.0,384.0,6900.0
양품,220.0,63,158.0,376.0,6627.0
양품,230.0,69,152.0,364.0,6867.0
양품,210.0,69,162.0,364.0,6807.0
양품,220.0,69,132.0,416.0,7053.0
양품,210.0,74,144.0,416.0,7233.0
양품,210.0,72,140.0,388.0,6987.0
양품,230.0,69,148.0,416.0,6933.0
양품,220.0,72,132.0,416.0,6960.0
양품,230.0,72,158.0,384.0,6840.0
양품,220.0,72,150.0,380.0,6867.0
양품,230.0,69,178.0,352.0,7440.0
양품,230.0,72,160.0,328.0,6840.0
양품,210.0,77,162.0,352.0,7473.0
양품,210.0,69,150.0,384.0,6960.0
양품,210.0,69,164.0,392.0,6753.0
양품,210.0,69,132.0,356.0,6900.0
양품,210.0,69,136.0,388.0,7467.0
명점,210.0,69,136.0,368.0,6960.0
양품,220.0,69,198.0,352.0,7020.0
양품,210.0,74,152.0,380.0,6933.0
양품,210.0,75,156.0,348.0,7113.0
양품,210.0,80,150.0,384.0,6807.0
양품,220.0,72,170.0,336.0,6720.0
명점,220.0,69,142.0,344.0,6993.0
양품,210.0,69,140.0,384.0,7467.0
양품,230.0,69,208.0,368.0,6780.0
